t,r34,dr34_dt
1.11142205e+01,8.13357299e+00,1.27348295e+00
2.41371989e+01,1.55863032e+01,2.08876765e+00
3.34736233e+01,2.07813897e+01,3.86236095e-01
4.68006879e+01,2.84136508e+01,3.65956174e-01
