t,r34,dr34_dt
1.88868121e+01,1.33790544e+01,1.18080834e+00
2.92666072e+01,2.08244522e+01,1.40770497e+00
4.06133447e+01,2.91680444e+01,2.39994209e+00
4.95104802e+01,3.30734843e+01,7.72562728e-01
5.88263832e+01,4.21370926e+01,5.53346677e-01
7.42176971e+01,5.14106516e+01,6.06188282e-01
