t,r34,dr34_dt
2.95963082e+01,2.44552596e+01,1.45621464e+00
4.59419107e+01,3.35072708e+01,1.51313224e+00
4.96825629e+01,3.61871946e+01,9.10917364e-01
5.49944289e+01,4.39677159e+01,1.02589802e+00
6.04348615e+01,4.95206520e+01,1.62190349e+00
6.51543311e+01,5.27015704e+01,1.35004916e+00
6.91904331e+01,5.38836171e+01,3.62320178e-01
9.30175511e+01,7.26855316e+01,4.26977996e-01
9.78179225e+01,7.59923107e+01,3.02245438e-01
