t_center,omega1,omega2
9.99975000e+00,4.95913418e-02,4.67929036e-02
2.99997500e+01,5.06698843e-02,4.88526724e-02
4.99997500e+01,4.48423903e-02,5.19890976e-02
6.99997500e+01,5.42018253e-02,4.23152929e-02
8.99997500e+01,3.63088568e-02,5.33781665e-02
1.09999750e+02,5.28878324e-02,9.99205819e-02
1.29999750e+02,4.16594481e-02,5.16599248e-02
1.49999750e+02,4.73594616e-02,5.06621043e-02
1.69999750e+02,5.12141874e-02,4.91538997e-02
1.89999750e+02,4.62238970e-02,4.97428402e-02
2.09999750e+02,5.24639484e-02,4.48803211e-02
2.29999750e+02,5.06435573e-02,3.87318352e-02
2.49999750e+02,1.11876265e-01,5.32940759e-02
2.69999750e+02,4.25356886e-02,4.93194174e-02
2.89999750e+02,5.29903945e-02,4.21826518e-02
