t,r34,dr34_dt
2.25611668e+01,7.46808860e+00,-1.35422228e-01
6.54152013e+01,5.65013752e+00,-3.54934579e-01
1.05013749e+02,4.01962862e+00,-4.70496425e-01
1.13832768e+02,6.96595108e+00,-8.52401722e-02
