t,r34,dr34_dt
2.44234884e+01,1.53725587e+01,1.23096290e+00
3.19209773e+01,2.05311796e+01,4.62954231e-01
4.55448169e+01,3.09259221e+01,-1.65368927e-01
5.50272116e+01,3.70112756e+01,-2.29967224e-02
