t,r34,dr34_dt
3.21485001e+01,1.95628576e+01,1.21650699e+00
4.28551927e+01,2.73392272e+01,1.54975136e+00
5.35314741e+01,3.23872815e+01,6.15225687e-01
6.48489485e+01,4.10056424e+01,2.05068626e-02
7.48211897e+01,4.65248821e+01,-6.40719314e-02
8.66281882e+01,5.55956907e+01,-2.44866559e-01
