t_center,omega1,omega2
9.99975000e+00,5.16489564e-02,4.37218675e-02
2.99997500e+01,1.12085808e-01,5.48300813e-02
4.99997500e+01,5.38651037e-02,5.08239242e-02
6.99997500e+01,5.50530284e-02,4.08394603e-02
8.99997500e+01,3.99014545e-02,5.45513204e-02
1.09999750e+02,4.73720856e-02,4.79389737e-02
1.29999750e+02,3.97314324e-02,4.91067547e-02
1.49999750e+02,4.85799149e-02,4.69066999e-02
1.69999750e+02,4.70768040e-02,4.44480213e-02
1.89999750e+02,4.67518604e-02,4.85109735e-02
2.09999750e+02,4.65071283e-02,4.65910880e-02
2.29999750e+02,4.66566959e-02,4.71448667e-02
2.49999750e+02,5.11711070e-02,4.27092931e-02
2.69999750e+02,5.31257910e-02,4.48482104e-02
2.89999750e+02,4.42525014e-02,5.42587226e-02
