t_center,omega1,omega2
9.99975000e+00,5.16266111e-02,4.40712431e-02
2.99997500e+01,5.30227171e-02,4.79522472e-02
4.99997500e+01,4.27518278e-02,5.41179941e-02
6.99997500e+01,4.10061913e-02,5.35417639e-02
8.99997500e+01,5.40166396e-02,4.58977084e-02
1.09999750e+02,4.67732951e-02,4.68440537e-02
1.29999750e+02,4.94558538e-02,4.56465507e-02
1.49999750e+02,4.00160702e-02,5.37164319e-02
1.69999750e+02,4.73638046e-02,4.66766498e-02
1.89999750e+02,4.19971587e-02,5.16936291e-02
2.09999750e+02,5.33810938e-02,4.78733193e-02
2.29999750e+02,4.94141460e-02,4.46155771e-02
2.49999750e+02,5.14099509e-02,4.32880566e-02
2.69999750e+02,5.31195818e-02,4.62488711e-02
2.89999750e+02,4.04420104e-02,5.31000134e-02
