case,q1,q2,m1,m2,c,L,r,V_eff,rho
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.050000,-20.00000000,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.150251,-6.65551839,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.250503,-3.99197593,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.350754,-2.85100287,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.451005,-2.21727019,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.551256,-1.81403829,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.651508,-1.53490166,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.751759,-1.33021390,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.852010,-1.17369508,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,0.952261,-1.05013193,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.052513,-0.95010742,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.152764,-0.86748038,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.253015,-0.79807499,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.353266,-0.73895284,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.453518,-0.68798617,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.553769,-0.64359638,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.654020,-0.60458757,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.754271,-0.57003724,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.854523,-0.53922233,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,1.954774,-0.51156812,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.055025,-0.48661206,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.155276,-0.46397762,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.255528,-0.44335524,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.355779,-0.42448805,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.456030,-0.40716113,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.556281,-0.39119324,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.656533,-0.37643053,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.756784,-0.36274152,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.857035,-0.35001319,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,2.957286,-0.33814783,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.057538,-0.32706056,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.157789,-0.31667728,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.258040,-0.30693298,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.358291,-0.29777046,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.458543,-0.28913912,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.558794,-0.28099407,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.659045,-0.27329534,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.759296,-0.26600722,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.859548,-0.25909771,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,3.959799,-0.25253807,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.060050,-0.24630237,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.160302,-0.24036719,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.260553,-0.23471133,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.360804,-0.22931551,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.461055,-0.22416221,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.561307,-0.21923543,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.661558,-0.21452056,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.761809,-0.21000422,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.862060,-0.20567413,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,4.962312,-0.20151899,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.062563,-0.19752841,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.162814,-0.19369282,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.263065,-0.19000334,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.363317,-0.18645179,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.463568,-0.18303058,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.563819,-0.17973266,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.664070,-0.17655148,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.764322,-0.17348095,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.864573,-0.17051540,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,5.964824,-0.16764954,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.065075,-0.16487841,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.165327,-0.16219741,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.265578,-0.15960220,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.365829,-0.15708873,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.466080,-0.15465320,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.566332,-0.15229203,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.666583,-0.15000188,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.766834,-0.14777959,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.867085,-0.14562219,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,6.967337,-0.14352687,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.067588,-0.14149099,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.167839,-0.13951206,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.268090,-0.13758772,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.368342,-0.13571575,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.468593,-0.13389403,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.568844,-0.13212057,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.669095,-0.13039347,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.769347,-0.12871095,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.869598,-0.12707129,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,7.969849,-0.12547289,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.070101,-0.12391419,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.170352,-0.12239375,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.270603,-0.12091017,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.370854,-0.11946212,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.471106,-0.11804835,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.571357,-0.11666764,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.671608,-0.11531887,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.771859,-0.11400092,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.872111,-0.11271275,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,8.972362,-0.11145337,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.072613,-0.11022183,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.172864,-0.10901720,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.273116,-0.10783862,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.373367,-0.10668525,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.473618,-0.10555629,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.573869,-0.10445098,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.674121,-0.10336857,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.774372,-0.10230836,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.874623,-0.10126969,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,9.974874,-0.10025189,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.075126,-0.09925435,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.175377,-0.09827646,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.275628,-0.09731765,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.375879,-0.09637737,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.476131,-0.09545509,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.576382,-0.09455029,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.676633,-0.09366249,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.776884,-0.09279120,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.877136,-0.09193597,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,10.977387,-0.09109636,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.077638,-0.09027195,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.177889,-0.08946233,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.278141,-0.08866710,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.378392,-0.08788588,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.478643,-0.08711831,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.578894,-0.08636403,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.679146,-0.08562270,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.779397,-0.08489399,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.879648,-0.08417758,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,11.979899,-0.08347315,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.080151,-0.08278042,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.180402,-0.08209910,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.280653,-0.08142889,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.380905,-0.08076954,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.481156,-0.08012079,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.581407,-0.07948237,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.681658,-0.07885404,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.781910,-0.07823557,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.882161,-0.07762673,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,12.982412,-0.07702729,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.082663,-0.07643704,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.182915,-0.07585576,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.283166,-0.07528326,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.383417,-0.07471933,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.483668,-0.07416379,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.583920,-0.07361645,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.684171,-0.07307713,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.784422,-0.07254566,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.884673,-0.07202186,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,13.984925,-0.07150557,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.085176,-0.07099663,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.185427,-0.07049488,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.285678,-0.07000018,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.385930,-0.06951237,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.486181,-0.06903131,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.586432,-0.06855686,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.686683,-0.06808889,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.786935,-0.06762727,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.887186,-0.06717186,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,14.987437,-0.06672255,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.087688,-0.06627921,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.187940,-0.06584172,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.288191,-0.06540996,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.388442,-0.06498384,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.488693,-0.06456322,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.588945,-0.06414802,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.689196,-0.06373813,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.789447,-0.06333344,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.889698,-0.06293386,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,15.989950,-0.06253928,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.090201,-0.06214963,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.190452,-0.06176480,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.290704,-0.06138470,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.390955,-0.06100926,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.491206,-0.06063838,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.591457,-0.06027198,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.691709,-0.05990998,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.791960,-0.05955231,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.892211,-0.05919888,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,16.992462,-0.05884962,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.092714,-0.05850446,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.192965,-0.05816332,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.293216,-0.05782614,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.393467,-0.05749285,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.493719,-0.05716338,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.593970,-0.05683766,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.694221,-0.05651563,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.794472,-0.05619723,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.894724,-0.05588239,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,17.994975,-0.05557107,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.095226,-0.05526319,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.195477,-0.05495871,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.295729,-0.05465757,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.395980,-0.05435970,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.496231,-0.05406507,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.596482,-0.05377361,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.696734,-0.05348528,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.796985,-0.05320002,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.897236,-0.05291779,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,18.997487,-0.05263854,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.097739,-0.05236222,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.197990,-0.05208879,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.298241,-0.05181819,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.398492,-0.05155040,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.498744,-0.05128536,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.598995,-0.05102302,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.699246,-0.05076336,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.799497,-0.05050633,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,19.899749,-0.05025189,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.0000,20.000000,-0.05000000,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.050000,-16.00000000,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.150251,-6.21255914,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.250503,-3.83261721,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.350754,-2.76972069,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.451005,-2.16810732,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.551256,-1.78113094,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.651508,-1.51134243,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.751759,-1.31251921,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.852010,-1.15991947,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,0.952261,-1.03910416,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.052513,-0.94108038,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.152764,-0.85995516,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.253015,-0.79170576,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.353266,-0.73349233,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.453518,-0.68325292,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.553769,-0.63945421,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.654020,-0.60093231,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.754271,-0.56678781,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.854523,-0.53631472,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,1.954774,-0.50895110,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.055025,-0.48424414,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.155276,-0.46182486,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.255528,-0.44138960,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.355779,-0.42268615,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.456030,-0.40550332,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.556281,-0.38966292,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.656533,-0.37501353,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.756784,-0.36142571,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.857035,-0.34878810,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,2.957286,-0.33700439,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.057538,-0.32599088,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.157789,-0.31567443,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.258040,-0.30599091,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.358291,-0.29688379,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.458543,-0.28830311,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.558794,-0.28020449,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.659045,-0.27254843,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.759296,-0.26529962,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.859548,-0.25842640,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,3.959799,-0.25190032,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.060050,-0.24569572,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.160302,-0.23978943,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.260553,-0.23416043,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.360804,-0.22878965,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.461055,-0.22365972,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.561307,-0.21875479,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.661558,-0.21406037,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.761809,-0.20956320,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.862060,-0.20525111,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,4.962312,-0.20111289,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.062563,-0.19713824,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.162814,-0.19331765,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.263065,-0.18964233,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.363317,-0.18610415,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.463568,-0.18269558,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.563819,-0.17940962,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.664070,-0.17623978,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.764322,-0.17318000,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.864573,-0.17022465,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,5.964824,-0.16736847,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.065075,-0.16460656,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.165327,-0.16193433,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.265578,-0.15934747,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.365829,-0.15684196,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.466080,-0.15441402,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.566332,-0.15206010,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.666583,-0.14977688,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.766834,-0.14756120,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.867085,-0.14541013,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,6.967337,-0.14332087,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.067588,-0.14129079,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.167839,-0.13931742,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.268090,-0.13739842,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.368342,-0.13553156,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.468593,-0.13371475,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.568844,-0.13194601,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.669095,-0.13022345,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.769347,-0.12854529,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.869598,-0.12690982,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,7.969849,-0.12531545,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.070101,-0.12376065,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.170352,-0.12224395,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.270603,-0.12076398,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.370854,-0.11931941,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.471106,-0.11790899,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.571357,-0.11653153,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.671608,-0.11518588,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.771859,-0.11387095,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.872111,-0.11258571,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,8.972362,-0.11132916,-1.000000
unlike,1.00,-1.00,1.00,1.00,2.00,0.1000,9.072613,-0.11010034,-1.000000
