family,c,T,E,max_floquet,drift_pct,status,eigenvalue_types
circular_E-1.0_bif,2.350000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.400000,1.570796,-1.000000,1.000001,-1.000000,Computed,
circular_E-1.0_bif,2.450000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.500000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.550000,1.570796,-1.000000,1.000001,-1.000000,Computed,
circular_E-1.0_bif,2.600000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.650000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.700000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.750000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.800000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.850000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.900000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,2.950000,1.570796,-1.000000,1.000000,-1.000000,Computed,
circular_E-1.0_bif,3.000000,1.570796,-1.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,0.500000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,0.600000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,0.700000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,0.800000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,0.900000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,0.950000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.000000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.000000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.100000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.200000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.300000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,1.400000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.414000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.500000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.600000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,1.700000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.800000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,1.900000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.000000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.000000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.100000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,2.200000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.300000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.400000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.500000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.600000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.700000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,2.800000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,2.900000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,3.000000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,3.100000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,3.200000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,3.300000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,3.400000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,3.500000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,3.600000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,3.700000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,3.800000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,3.900000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,4.000000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,4.100000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,4.200000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,4.300000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,4.400000,0.555360,-2.000000,1.000000,-1.000000,Computed,
